year,country,crisisJST,yhat_baseline_insample,yhat_baseline_outsample,yhat_narrowm_1984,yhat_eq_1984,yhat_hous_1984,yhat_bond_1984,yhat_bill_1984,yhat_ca_1984,yhat_all_1984,yhat_narrowm_2017,yhat_eq_2017,yhat_hous_2017,yhat_bond_2017,yhat_bill_2017,yhat_ca_2017,yhat_all_2017
1870,USA,0,,,,,,,,,,,,,,,,
1871,USA,0,,,,,,,,,,,,,,,,
1872,USA,0,,,,,,,,,,,,,,,,
1873,USA,1,,,,,,,,,,,,,,,,
1874,USA,0,,,,,,,,,,,,,,,,
1875,USA,0,,,.034935221,,,,.035793975,.031168533,,.034525033,,,,.034816209,.032162447,
1876,USA,0,,,.034935027,,,.046953801,.035793975,.031168438,,.034525033,,,.037483096,.034816209,.032162439,
1877,USA,0,,,.034935199,.03183328,,.04259748,.035793975,.031168696,,.034525033,.033627752,,.04387344,.034816209,.032162432,
1878,USA,0,,,.034935229,.03183328,,.033572312,.031749245,.031168612,,.034525026,.033627752,,.047522523,.02962002,.032162443,
1879,USA,0,,,.034934908,.03183328,,.03194743,.033989765,.03116856,,.034525026,.033627752,,.04039596,.028766934,.032162439,
1880,USA,0,,,.034935158,.03183328,,.020540861,.036481991,.03116866,,.034525014,.033627752,,.029360678,.029099613,.032162439,
1881,USA,0,,,.034935374,.03183328,,.032080933,.031768519,.031168567,,.034525014,.033627752,,.023908688,.025455637,.032162443,
1882,USA,0,,,.034935188,.03183328,,.022882717,.033517659,.031168597,,.034525022,.033627752,,.027612235,.028463837,.032162447,
1883,USA,0,,,.034935217,.03183328,,.03658985,.034797065,.031168519,,.034525033,.033627752,,.037147075,.028704643,.03216245,
1884,USA,0,,,.034935728,.03183328,,.037057359,.034160376,.031168539,,.034525037,.033627752,,.039705027,.029537739,.03216245,
1885,USA,0,.032520376,.030689219,.034935568,.03183328,,.038711887,.033665583,.031168479,,.034525029,.033627752,,.042763032,.033986568,.032162454,
1886,USA,0,.032520432,.030689154,.034935061,.03183328,,.032188691,.032559294,.031168384,,.034525033,.033627752,,.035843406,.033882696,.03216245,
1887,USA,0,.032520384,.030689176,.034934763,.03183328,,.038312983,.032559294,.031168429,,.034525022,.033627752,,.038600691,.033882696,.032162447,
1888,USA,0,.032520387,.030688856,.034934882,.03183328,,.030232772,.032559294,.031168455,,.034525022,.033627752,,.037033401,.033882696,.032162447,
1889,USA,0,.03252041,.030688863,.034934781,.03183328,,.036433771,.032559294,.031168476,,.034525022,.033627752,,.036399078,.033882696,.032162447,
1890,USA,0,.03252051,.030689087,.034934364,.03183328,,.041115601,.032559294,.031168431,,.034525026,.033627752,,.039906323,.033882696,.03216245,
1891,USA,0,.032520331,.030689271,.034934938,.03183328,,.034769982,.032559294,.031168437,,.034525022,.033627752,,.041700639,.033882696,.032162447,
1892,USA,0,.032520436,.030689029,.034934841,.03183328,,.034215219,.032559294,.031168424,,.034525018,.033627752,,.040776361,.033882696,.032162443,
1893,USA,1,.032520443,.030689334,.034934603,.03183328,,.032311395,.032559294,.03116856,,.034525026,.033627752,,.038727488,.033882696,.032162435,
1894,USA,0,.032520287,.030689364,.03493458,.03183328,,.026329465,.032559294,.031168444,,.034525029,.033627752,,.032029495,.033882696,.032162439,
1895,USA,0,.032520395,.030689076,.034934696,.03183328,,.031523537,.032559294,.031168574,,.034525037,.033627752,,.030636471,.033882696,.032162439,
1896,USA,0,.032520331,.030689055,.034934502,.03183328,.083448604,.026991647,.032559294,.031168545,.05116671,.034525033,.033627752,.10097962,.033323444,.033882696,.032162439,.076515637
1897,USA,0,.032520272,.030688604,.034934297,.03183328,.012747733,.029625904,.032559294,.031168705,.0040871771,.034525018,.033627752,.017221335,.033933472,.033882696,.032162439,.0064818603
1898,USA,0,.03252041,.030688545,.034934551,.03183328,.021610172,.031837098,.032559294,.031168686,.0014490638,.034525003,.033627752,.02009562,.034234788,.033882696,.032162443,.0022834693
1899,USA,0,.032520425,.030688932,.034933954,.03183328,.037048444,.030779032,.030660503,.031168573,.0055354107,.034525003,.033627752,.036397375,.03466608,.031253193,.032162443,.0065110256
1900,USA,0,.032520253,.03068869,.034933973,.03183328,.0094266543,.029812818,.031725768,.031168755,.0021862115,.034525014,.033627752,.011688349,.033051271,.030800695,.032162432,.003381151
1901,USA,0,.032520402,.030688357,.034934796,.03183328,.060559656,.039836146,.034902643,.031168735,.00217434,.034525018,.033627752,.075171612,.03739199,.033585068,.032162435,.0064260205
1902,USA,0,.032520514,.030688841,.034934841,.03183328,.019991677,.03551608,.033424087,.031168709,.0054377355,.034525022,.033627752,.020936832,.039911073,.034565359,.032162447,.009648025
1903,USA,0,.032520223,.030689083,.034934554,.03183328,.007517613,.036225315,.030155923,.031168725,.018181892,.034525022,.033627752,.010346478,.041096743,.034003325,.03216245,.012465981
1904,USA,0,.032520451,.030688731,.034934606,.03183328,.049616467,.036458068,.030971818,.031168532,.0025383064,.034525014,.033627752,.044998344,.041200154,.032987855,.032162454,.0048200157
1905,USA,0,.032520346,.030689407,.034934469,.03183328,.030178495,.033584874,.034325276,.031168751,.0006458555,.034525014,.033627752,.04319752,.038016934,.033533685,.032162461,.0024017445
1906,USA,0,.032520287,.030688785,.034933716,.03183328,.011455745,.029135171,.031476501,.031168353,.0090845069,.034525011,.033627752,.013458241,.034442376,.031884626,.032162458,.0066657681
1907,USA,1,.032520164,.030688107,.034934074,.03183328,.092530414,.040090758,.033135537,.03116872,.31542909,.034525007,.033627752,.10914632,.036856335,.03632484,.032162447,.16577977
1908,USA,0,.03252057,.030688342,.034934178,.03183328,.005427876,.027881736,.03293436,.031168584,.00018652086,.034524996,.033627752,.0050200927,.037470754,.03648809,.032162454,.00062158314
1909,USA,0,.032520209,.03068991,.034933515,.03183328,.007110646,.034882732,.031724326,.031168265,.00015691154,.034525014,.033627752,.010789185,.037805486,.034315795,.032162454,.00041619455
1910,USA,0,.032520279,.030688763,.034933452,.03183328,.10325346,.028101247,.03043687,.031168703,.30665204,.034525022,.033627752,.083172098,.035320133,.033522666,.03216245,.11241525
1911,USA,0,.032519907,.030687774,.034933664,.03183328,.0055798716,.031456232,.031199254,.031168398,.0024032486,.034525022,.033627752,.011584976,.033498477,.030753437,.032162443,.0040158979
1912,USA,0,.032520648,.030687265,.034934048,.03183328,.062434863,.028479327,.032871839,.031168781,.023314053,.034525029,.033627752,.062980101,.03147725,.030977925,.032162454,.024750851
1913,USA,0,.032520175,.030689195,.034931872,.03183328,.014385681,.036014803,.03256917,.031168357,.012909948,.034524988,.033627752,.018006314,.036937807,.031423282,.032162465,.010937462
1914,USA,0,.032520197,.030688487,.034933291,.03183328,.027627219,.033722527,.032332078,.031168181,.059944771,.034525,.033627752,.029823029,.037966244,.033704676,.032162439,.042019986
1915,USA,0,.032520205,.030688221,.034932848,.03183328,.035076238,.030138109,.031795833,.031169897,.00073733233,.034524977,.033627752,.042258605,.038925134,.033653118,.032162406,.0023075475
1916,USA,0,.032520186,.030688226,.034930654,.03183328,.017272169,.03213349,.031795833,.031169757,.0062468336,.034524985,.033627752,.019235704,.035548512,.033653118,.032162409,.0068814973
1917,USA,0,.032520223,.030688053,.0349347,.03183328,.016507721,.03745269,.033762485,.031169871,.17573768,.034524933,.033627752,.019633535,.034391772,.036476936,.032162439,.060507931
1918,USA,0,.032519985,.030688379,.034933247,.03183328,.028061997,.029174224,.032631136,.031168673,.0042233034,.034524821,.033627752,.028640421,.036362093,.037009642,.032162439,.008514259
1919,USA,0,.032520313,.030688787,.034934651,.03183328,.0093052806,.030918676,.031493187,.03117135,.00070502533,.034524955,.033627752,.012432537,.037760582,.036799215,.032162309,.0018109169
1920,USA,0,.032519829,.030689102,.034931801,.03183328,.019071257,.043613609,.031786185,.031170301,.14644878,.034525022,.033627752,.022164062,.038984045,.036280517,.032162394,.053136136
1921,USA,0,.032519847,.030686269,.034933541,.03183328,.029323021,.018699603,.032019403,.031170426,.0067056268,.034525227,.033627752,.036955744,.034032438,.033830874,.032162547,.013810052
1922,USA,0,.032520071,.030684931,.034937307,.03183328,.025299713,.027073493,.032559294,.031167472,.0028264171,.034525029,.033627752,.032610625,.028500743,.033882696,.03216254,.0047816923
1923,USA,0,.032520562,.030686315,.034931086,.03183328,.020157659,.028020458,.032559294,.031170513,.0060496163,.034524973,.033627752,.025140833,.027430905,.033882696,.032162447,.0099790804
1924,USA,0,.032520305,.030688228,.034929998,.03183328,.030643346,.029086553,.032559294,.031169567,.003189136,.034524862,.033627752,.03276211,.029974472,.033882696,.032162581,.0068734246
1925,USA,0,.032519985,.030687874,.034921177,.03183328,.016718823,.029659916,.032559294,.0311678,.00069743698,.034524973,.033627752,.019379819,.033007693,.033882696,.03216261,.0019417405
