year,country,crisisJST,yhat_base_insample,yhat_base_outsample,yhat_baseline_insample,yhat_baseline_outsample,yhat_baselineInsample,yhat_baselineOutsample,yhat_baselineIn_cred,yhat_baselineOut_cred
1985,USA,0,,,,,,,,
1986,USA,0,,,,,,,,
1987,USA,0,,,,,,,,
1988,USA,0,.05914386,.052037399,.05914386,.052037399,.05914386,.052037399,.05914386,.052037399
1989,USA,0,.038126048,.037814822,.038126048,.037814822,.038126048,.037814822,.038126048,.037814822
1990,USA,0,,,,,,,,
1991,USA,0,,,,,,,,
1992,USA,0,,,,,,,,
1993,USA,0,,,,,,,,
1994,USA,0,,,,,,,,
1995,USA,0,,,,,,,,
1996,USA,0,,,,,,,,
1997,USA,0,,,,,,,,
1998,USA,0,.049866412,.037937332,.049866412,.037937332,.049866412,.037937332,.049866412,.037937332
1999,USA,0,.039555311,.038499195,.039555311,.038499195,.039555311,.038499195,.039555311,.038499195
2000,USA,0,.047077931,.041514885,.047077931,.041514885,.047077931,.041514885,.047077931,.041514885
2001,USA,0,.051640041,.040044557,.051640041,.040044557,.051640041,.040044557,.051640041,.040044557
2002,USA,0,.053616483,.049013849,.053616483,.049013849,.053616483,.049013849,.053616483,.049013849
2003,USA,0,.032675657,.032630242,.032675657,.032630242,.032675657,.032630242,.032675657,.032630242
2004,USA,0,.041055072,.040956419,.041055072,.040956419,.041055072,.040956419,.041055072,.040956419
2005,USA,0,.03647083,.03165736,.03647083,.03165736,.03647083,.03165736,.03647083,.03165736
2006,USA,0,.0593803,.044894878,.0593803,.044894878,.0593803,.044894878,.0593803,.044894878
2007,USA,1,.049887083,.040071927,.049887083,.040071927,.049887083,.040071927,.049887083,.040071927
2008,USA,0,.04555428,.040491231,.04555428,.040491231,.04555428,.040491231,.04555428,.040491231
2009,USA,0,,,,,,,,
2010,USA,0,,,,,,,,
2011,USA,0,,,,,,,,
2012,USA,0,,,,,,,,
2013,USA,0,,,,,,,,
2014,USA,0,,,,,,,,
2015,USA,0,,,,,,,,
2016,USA,0,,,,,,,,
2017,USA,0,.059110425,.040942036,.059110425,.040942036,.059110425,.040942036,.059110425,.040942036
1985,UK,0,.055047512,.045593794,.055047512,.045593794,.055047512,.045593794,.055047512,.045593794
1986,UK,0,.049855679,.049645863,.049855679,.049645863,.049855679,.049645863,.049855679,.049645863
1987,UK,0,.040253446,.040928472,.040253446,.040928472,.040253446,.040928472,.040253446,.040928472
