crisisJST,yhat1,yhat2
0,,
0,,
0,,
1,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,.033038076
0,,.033038057
0,.032850955,.033038076
0,.032850869,.033038054
0,.032850806,.033038042
0,.032851122,.033038057
0,.032850739,.033038106
0,.032850988,.033038046
0,.032851066,.03303808
0,.032850817,.033038091
1,.032851096,.033038031
0,.032850932,.033038054
0,.032850668,.03303802
0,.032850884,.033037979
0,.032851025,.033038031
0,.032850575,.033038054
0,.032850739,.033037975
0,.032851059,.033038028
0,.032850467,.033038091
0,.032851014,.033037998
0,.032850932,.033038069
0,.032850862,.033038057
0,.03285015,.033037987
0,.032851115,.033037923
1,.032850813,.033038095
0,.032851227,.033038028
0,.032849655,.033037964
0,.032851201,.033037793
0,.032850415,.033038057
0,.032850821,.033037972
0,.032850593,.033037938
0,.032850601,.033037923
0,.032850727,.033037916
0,.032850236,.033037912
0,.032851543,.033037849
0,.032850817,.033037968
0,.032850266,.033037763
0,.032849524,.033037618
0,.032850627,.033037677
0,.032850638,.033037964
0,.032849953,.033037957
0,.03285097,.033037834
0,.032850195,.033038013
0,.032850541,.033037927
0,.032850336,.033037923
0,.032850139,.03303792
0,.032850735,.033037905
1,.032851048,.033037964
0,.032851011,.033037905
0,.032851342,.033037726
0,.032850664,.033037599
0,.032849409,.033037383
0,.032850258,.033037242
0,.032849219,.033037513
0,.032850262,.033037554
0,.032851171,.033037793
0,.032850463,.033037953
0,.032849725,.033037759
0,.032850482,.033037692
0,.032852374,.033037949
0,.032850888,.033038098
0,.032849018,.03303761
0,.032850306,.033037372
0,.032847967,.033037856
0,.032852612,.033037849
0,.0328504,.033038463
0,.032850925,.033038061
0,.032847885,.033037886
0,.032852966,.033037741
0,.03284853,.033038475
0,.032851592,.0330378
0,.032849267,.033037998
0,.032847211,.033037838
0,.032852057,.033037703
0,.032850876,.033038527
0,.032849852,.033038124
0,.032846805,.03303754
0,.032851651,.033037394
0,.032847997,.03303824
0,.032848306,.03303764
0,.032848012,.033037554
0,.03284866,.033037867
0,.032847594,.03303802
0,.032852668,.03303783
0,.032846116,.033038191
0,.032850813,.033036996
0,.032847278,.033037301
0,.032850865,.033036839
0,.032840867,.033036813
0,.032843404,.033035703
0,.032847088,.033036873
0,.032857776,.03303818
0,.032849606,.033038467
0,.032838926,.033035643
0,.032843154,.03303409
0,.032845005,.033036262
0,.032851838,.033037301
0,.032854121,.033037294
0,.032842562,.033036213
0,.032846324,.033033889
0,.03283507,.033034679
1,.032840505,.033034503
0,.032849729,.033036396
0,.032841168,.033038247
0,.032852378,.033036578
0,.032842875,.033037368
0,.032853801,.033035908
0,.032847166,.03303612
0,.032849196,.033034243
0,.032838307,.033033244
0,.032837067,.033031978
0,.03283973,.03303295
0,.032844003,.033034865
0,.032845847,.033035889
0,.032841254,.0330358
0,.032840598,.033035096
0,.032845829,.033035535
0,.032842781,.033036549
0,.032847151,.033035722
0,.032837026,.033035569
0,.032840896,.033034265
0,.032832727,.033035122
0,.032848153,.033035073
0,.032841709,.033037059
1,.032841004,.033035398
0,.032851964,.033034097
0,.032851093,.033034682
0,.032821283,.033032231
0,.03284784,.033027463
0,.032826554,.033032376
0,.03284153,.033030979
0,.032830767,.033032298
0,.032831207,.033032168
0,.032842286,.033033133
0,.032843105,.033035308
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,.033038065
0,,.033038076
0,.032851078,.033038057
0,.032850962,.033038072
0,.032851018,.033038061
0,.032850999,.033038061
0,.032850992,.033038065
1,.032851007,.033038061
0,.032850891,.033038061
0,.032851152,.033038054
0,.03285091,.033038087
0,.032851052,.03303805
0,.032850899,.033038057
0,.032851018,.03303805
0,.032851014,.033038069
0,.03285097,.033038065
0,.032850977,.033038054
0,.032851063,.033038057
0,.032850966,.033038065
0,.032850966,.033038042
0,.032850951,.033038042
0,.032851011,.03303805
0,.032850977,.033038057
0,.032850929,.03303805
0,.032851033,.033038042
0,.032851003,.033038061
0,.032850947,.033038054
0,.032850921,.033038039
0,.032851048,.033038046
0,.032850951,.033038069
0,.032850958,.033038046
0,.032850958,.033038046
0,.032851283,.033038054
0,.032850869,.033038076
0,.032850932,.033037994
0,.03285104,.033038005
0,.032850459,.033038046
0,.03285154,.033037998
0,.03285072,.033038147
