year,country,crisisJST,yhat_baseline_insample,yhat_baseline_outsample,yhat_narrowm_1984,yhat_eq_1984,yhat_hous_1984,yhat_bond_1984,yhat_bill_1984,yhat_ca_1984,yhat_all_1984,yhat_narrowm_2017,yhat_eq_2017,yhat_hous_2017,yhat_bond_2017,yhat_bill_2017,yhat_ca_2017,yhat_all_2017
1985,USA,0,.032517005,.030652083,.034766681,.03183328,.020885468,.011684804,.04486056,.031131396,.0059120869,.03452222,.033627752,.024134994,.018712956,.011166528,.032163393,.0047946982
1986,USA,0,.03252016,.030656826,.034797952,.03183328,.018516598,.012147583,.0392465,.03109296,.0011472936,.034522049,.033627752,.021743543,.01889633,.014872187,.032164764,.0040413276
1987,USA,0,.032522246,.030676581,.03481064,.03183328,.019395392,.12079935,.046224829,.031096593,.012847309,.034521904,.033627752,.022973103,.03122892,.023198225,.032165471,.029517254
1988,USA,0,.032515991,.03068996,.034731839,.03183328,.0211334,.027834518,.048948474,.031089598,.00067057402,.03452225,.033627752,.025329314,.031014433,.024196954,.032164071,.0094705569
1989,USA,0,.03251968,.030681459,.034757238,.03183328,.020516029,.034454446,.0519589,.031091945,.00039169603,.034523115,.033627752,.025027379,.063699529,.044645261,.03216178,.007520183
1990,USA,0,.032514963,.030689968,.03473559,.03183328,.023676831,.068489693,.036397003,.031122321,.01413196,.034520984,.033627752,.028547933,.059355289,.048100393,.032160759,.051298909
1991,USA,0,.032517012,.030685268,.034720168,.03183328,.02582686,.028075049,.025888566,.031150864,.0013190587,.034520388,.033627752,.030612046,.033959072,.029435813,.032157391,.0092077851
1992,USA,0,.032512818,.030686652,.034684606,.03183328,.023128247,.029604729,.026281655,.031104255,.016169982,.034518622,.033627752,.027326897,.023124719,.016654542,.032157689,.0090467799
1993,USA,0,.032513704,.030667346,.034616228,.03183328,.024564426,.02003384,.034848358,.031171447,.0037442541,.034519039,.033627752,.02819185,.030459307,.01253288,.032158814,.0058241435
1994,USA,0,.032512829,.030649163,.034706507,.03183328,.024477502,.10489532,.049337201,.031059444,.020980904,.034519829,.033627752,.027843051,.044072956,.01973754,.03215827,.017701633
1995,USA,0,.032516222,.030636203,.034620889,.03183328,.022879433,.0084355231,.048680108,.031231159,.000018730734,.034521591,.033627752,.026436361,.034614224,.037509516,.032158278,.0013111794
1996,USA,0,.032518752,.030647386,.03462271,.03183328,.023183916,.094183989,.033648141,.031062255,.0057847765,.034521796,.033627752,.026598418,.040221334,.047800973,.032166239,.0095422184
1997,USA,0,.032518487,.030666206,.034636058,.03183328,.023060974,.014851904,.031035708,.031096056,.000047738667,.034519795,.033627752,.02660365,.027219851,.04920613,.032164164,.0020590839
1998,USA,0,.032517482,.030672822,.034533311,.03183328,.020799125,.042889733,.0320515,.031003499,.0024424333,.034518104,.033627752,.024147421,.033256829,.038290128,.032163724,.0075264745
1999,USA,0,.032516316,.03066721,.034413483,.03183328,.020845957,.047093861,.033208132,.031042488,.00082156283,.034512121,.033627752,.024357952,.031704132,.031678487,.032161482,.0022691546
2000,USA,0,.032517474,.030663693,.034539662,.03183328,.019891107,.026404867,.040308788,.030947065,.00092641538,.034521557,.033627752,.023236759,.056606419,.040678605,.032163538,.01772741
2001,USA,0,.03251905,.030671446,.034215383,.03183328,.01758437,.042150702,.026579265,.031047883,.31711847,.034517206,.033627752,.021064486,.03410602,.026148546,.032162488,.066179045
2002,USA,0,.032515839,.030680304,.034418367,.03183328,.020128958,.018250844,.023467164,.030865017,.023222739,.034520667,.033627752,.024026439,.031808529,.017718611,.032166649,.045167208
2003,USA,0,.032517046,.030672202,.034745414,.03183328,.019726429,.056016475,.03094539,.03092899,.012252776,.034512267,.033627752,.024020331,.029138653,.01549881,.032165915,.005866799
2004,USA,0,.032514472,.030665338,.033865843,.03183328,.015947355,.018188074,.037354346,.030717475,.0011597495,.034517612,.033627752,.019565821,.026807062,.015389974,.032163817,.0026408602
2005,USA,0,.03251823,.030652365,.034331277,.03183328,.014467198,.050763108,.045878917,.030851047,.0039637368,.034518775,.033627752,.017476967,.049593259,.033850953,.032157235,.0078539886
2006,USA,0,.032516025,.030661302,.034226928,.03183328,.019257367,.040267769,.041686773,.03075528,.0015729237,.034518216,.033627752,.023504823,.038423847,.061160307,.032160431,.0096764043
2007,USA,1,.032519974,.030671233,.034100607,.03183328,.027355542,.03427982,.030830935,.030850926,.0016626619,.034518912,.033627752,.034767743,.044057466,.067821272,.032157462,.017693114
2008,USA,0,.032514453,.030684635,.033897616,.03183328,.037016984,.012056028,.02106926,.030736627,.69842839,.034431245,.033627752,.047114938,.027215216,.041475613,.032159418,.5835548
2009,USA,0,.03251237,.030677237,.035845958,.03183328,.03852265,.099363603,.019674325,.03101809,.034575529,.034453422,.033627752,.045294862,.029257616,.019026943,.032149933,.010774511
2010,USA,0,.032514282,.030682439,.033529252,.03183328,.033296064,.019193817,.029148998,.030650266,.00024053684,.034499604,.033627752,.036159471,.034963474,.013873656,.032148685,.0018949782
2011,USA,0,.032511178,.030674312,.032179199,.03183328,.034445733,.015730029,.035623994,.031120418,.12762399,.034522358,.033627752,.035277504,.035848159,.0149557,.032139808,.021973556
2012,USA,0,.032502852,.030640403,.040360436,.03183328,.027171744,.038500383,.033587337,.030727984,.0062474003,.034525279,.033627752,.028226214,.029247168,.022240642,.032139063,.0085420925
2013,USA,0,.032519147,.030613042,.033857614,.03183328,.017109282,.10736065,.029678142,.031266794,.000091929483,.034392018,.033627752,.018238313,.036267143,.030849716,.032134779,.00065802987
2014,USA,0,.032510474,.030645344,.033505991,.03183328,.020743916,.0074724108,.027060524,.03092733,.00088176702,.034497857,.033627752,.022505103,.030314945,.031036884,.03215583,.004870275
2015,USA,0,.032515295,.030633459,.034762081,.03183328,.022031866,.076703258,.027319334,.030935232,.12033205,.034505073,.033627752,.025300112,.054084696,.031188929,.032153901,.03403062
2016,USA,0,.032513939,.030636337,.029966697,,,,,.030956494,,.034622982,,,,,.032153986,
2017,USA,0,.032515083,.030638326,.036748249,,,,,.030911839,,.034499377,,,,,.032151237,
1985,UK,0,.032520514,.030688353,.034923419,.03183328,.017864661,.039571166,.071022995,.031173903,.00078339357,.034524877,.033627752,.02065669,.048618529,.030143507,.032162391,.011883846
1986,UK,0,.032520279,.030688826,.034920413,.03183328,.010430089,.038263839,.04739463,.031162888,.0009267219,.034524888,.033627752,.013879783,.056443915,.034518298,.032162756,.0064990064
1987,UK,0,.032520488,.030688228,.034923233,.03183328,.011293013,.062016934,.035360463,.031166475,.00042672054,.034524865,.033627752,.014143307,.061948944,.034930449,.032162666,.009654169
1988,UK,0,.032520276,.030688155,.034921374,.03183328,.006411578,.039239608,.043646794,.031153344,.0047449027,.034524791,.033627752,.0081469798,.024461441,.036488965,.032162812,.010483647
1989,UK,0,.032520633,.030687081,.034919947,.03183328,.0078662839,.028225126,.068287067,.031162512,.000040680578,.03452481,.033627752,.010879638,.031605985,.049306054,.032162573,.0017230378
1990,UK,0,.032520313,.030687807,.03491931,.03183328,.038025185,.050666165,.059483327,.031158945,.013830392,.034524869,.033627752,.054249443,.049922779,.075626746,.03216261,.13362557
1991,UK,1,.032520764,.030689798,.034917369,.03183328,.031046161,.021889592,.028518276,.031168694,.0048432783,.034524914,.033627752,.047356054,.038307689,.050874237,.032162618,.040706493
